property_id,price,categories,bedrooms,bathrooms,garage,area,location,amenities,furnished
1606888774-383,16800,Apartment for Rent,2,2,2,151,Dzorwulu,Listed,Furnished
1606888783-385,15525,Apartment for Rent,3,3,2,216,Airport Residential,Listed,Not Furnished
1606888789-386,15525,Apartment for Rent,2,2,0,130,Cantoment accra,Listed,Furnished
1606888795-387,10878,Apartment for Rent,2,2,0,115,Cantoment accra,Listed,Furnished
1606888803-389,8158,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Furnished
1606888810-391,5462,Apartment for Rent,1,1,0,51,"Osu ,Accra,Ghana",Listed,Furnished
1606888820-393,7993,Apartment for Rent,1,2,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606888830-395,20125,Apartment for Rent,2,2,0,115,Airport Residential,Listed,Furnished
1606888841-397,8021,Apartment for Rent,1,1,0,110,Cantoment accra,Listed,Furnished
1606888857-399,14375,Apartment for Rent,2,3,0,180,Cantoment accra,Listed,Furnished
1606888867-401,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606888872-403,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606888877-405,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606888885-407,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606888890-409,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606888900-411,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606888931-420,16800,Apartment for Rent,2,2,2,151,Dzorwulu,Listed,Furnished
1606888936-421,15525,Apartment for Rent,3,3,2,216,Airport Residential,Listed,Not Furnished
1606888945-423,15525,Apartment for Rent,2,2,0,130,Cantoment accra,Listed,Furnished
1606888953-426,10878,Apartment for Rent,2,2,0,115,Cantoment accra,Listed,Furnished
1606888958-428,8158,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Furnished
1606888964-430,5462,Apartment for Rent,1,1,0,51,"Osu ,Accra,Ghana",Listed,Furnished
1606888968-432,7993,Apartment for Rent,1,2,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606888975-434,20125,Apartment for Rent,2,2,0,115,Airport Residential,Listed,Furnished
1606888980-436,8021,Apartment for Rent,1,1,0,110,Cantoment accra,Listed,Furnished
1606888988-438,14375,Apartment for Rent,2,3,0,180,Cantoment accra,Listed,Furnished
1606888997-439,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606889004-441,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606889011-443,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606889017-444,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606889027-446,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606889032-448,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606889051-452,16800,Apartment for Rent,2,2,2,151,Dzorwulu,Listed,Furnished
1606889056-453,15525,Apartment for Rent,3,3,2,216,Airport Residential,Listed,Not Furnished
1606889061-454,15525,Apartment for Rent,2,2,0,130,Cantoment accra,Listed,Furnished
1606889068-456,10878,Apartment for Rent,2,2,0,115,Cantoment accra,Listed,Furnished
1606889076-457,8158,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Furnished
1606889085-458,5462,Apartment for Rent,1,1,0,51,"Osu ,Accra,Ghana",Listed,Furnished
1606889090-459,7993,Apartment for Rent,1,2,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606889098-460,20125,Apartment for Rent,2,2,0,115,Airport Residential,Listed,Furnished
1606889106-461,8021,Apartment for Rent,1,1,0,110,Cantoment accra,Listed,Furnished
1606889113-462,14375,Apartment for Rent,2,3,0,180,Cantoment accra,Listed,Furnished
1606889121-463,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606889129-464,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606889135-465,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606889142-467,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606889149-469,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606889154-471,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606889177-475,16800,Apartment for Rent,2,2,2,151,Dzorwulu,Listed,Furnished
1606889185-477,15525,Apartment for Rent,3,3,2,216,Airport Residential,Listed,Not Furnished
1606889189-478,15525,Apartment for Rent,2,2,0,130,Cantoment accra,Listed,Furnished
1606889196-480,10878,Apartment for Rent,2,2,0,115,Cantoment accra,Listed,Furnished
1606889206-482,8158,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Furnished
1606889213-484,5462,Apartment for Rent,1,1,0,51,"Osu ,Accra,Ghana",Listed,Furnished
1606889220-486,7993,Apartment for Rent,1,2,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606889227-488,20125,Apartment for Rent,2,2,0,115,Airport Residential,Listed,Furnished
1606889237-490,8021,Apartment for Rent,1,1,0,110,Cantoment accra,Listed,Furnished
1606889251-493,14375,Apartment for Rent,2,3,0,180,Cantoment accra,Listed,Furnished
1606889256-494,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606889269-496,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606889275-498,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606889282-499,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606889298-502,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606889307-504,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606889327-508,5462,Apartment for Rent,1,1,0,51,"Osu ,Accra,Ghana",Listed,Furnished
1606889334-509,20125,Apartment for Rent,2,2,0,115,Airport Residential,Listed,Furnished
1606889343-511,8021,Apartment for Rent,1,1,0,110,Cantoment accra,Listed,Furnished
1606889350-513,14375,Apartment for Rent,2,3,0,180,Cantoment accra,Listed,Furnished
1606889385-519,10638,Apartment for Rent,2,3,0,200,East Legon,Listed,Furnished
1606889397-521,2500,Apartment for Rent,2,2,0,115,Dzorwulu,Not Listed,Not Furnished
1606889405-523,10878,Apartment for Rent,2,2,0,115,Cantoment accra,Listed,Furnished
1606889414-525,8158,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Furnished
1606889426-528,9488,Apartment for Rent,3,2,2,230,Cantoment accra,Listed,Not Furnished
1606889436-530,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606889445-532,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606889455-534,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606889464-536,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606889470-538,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606889478-540,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606889496-542,5462,Apartment for Rent,1,1,0,51,"Osu ,Accra,Ghana",Listed,Furnished
1606889502-544,20125,Apartment for Rent,2,2,0,115,Airport Residential,Listed,Furnished
1606889512-546,8021,Apartment for Rent,1,1,0,110,Cantoment accra,Listed,Furnished
1606889524-548,14375,Apartment for Rent,2,3,0,180,Cantoment accra,Listed,Furnished
1606889541-552,10638,Apartment for Rent,2,3,0,200,East Legon,Listed,Furnished
1606889552-555,2500,Apartment for Rent,2,2,0,115,Dzorwulu,Not Listed,Not Furnished
1606889560-557,10878,Apartment for Rent,2,2,0,115,Cantoment accra,Listed,Furnished
1606889566-559,8158,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Furnished
1606889578-561,9488,Apartment for Rent,3,2,2,230,Cantoment accra,Listed,Not Furnished
1606889583-563,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606889594-565,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606889607-567,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606889616-569,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606889634-571,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606889639-573,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606889656-576,7993,Apartment for Rent,1,2,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606889665-578,20125,Apartment for Rent,2,2,0,115,Airport Residential,Listed,Furnished
1606889673-580,8021,Apartment for Rent,1,1,0,110,Cantoment accra,Listed,Furnished
1606889679-582,14375,Apartment for Rent,2,3,0,180,Cantoment accra,Listed,Furnished
1606889703-586,10638,Apartment for Rent,2,3,0,200,East Legon,Listed,Furnished
1606889712-588,2500,Apartment for Rent,2,2,0,115,Dzorwulu,Not Listed,Not Furnished
1606889723-590,10878,Apartment for Rent,2,2,0,115,Cantoment accra,Listed,Furnished
1606889729-591,8158,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Furnished
1606889734-593,9488,Apartment for Rent,3,2,2,230,Cantoment accra,Listed,Not Furnished
1606889742-595,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606889750-597,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606889758-599,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606889763-601,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606889772-603,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606889783-605,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606889802-609,7993,Apartment for Rent,1,2,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606889810-610,20125,Apartment for Rent,2,2,0,115,Airport Residential,Listed,Furnished
1606889818-613,8021,Apartment for Rent,1,1,0,110,Cantoment accra,Listed,Furnished
1606889824-615,14375,Apartment for Rent,2,3,0,180,Cantoment accra,Listed,Furnished
1606889827-616,10638,Apartment for Rent,2,3,0,200,East Legon,Listed,Furnished
1606889836-620,2500,Apartment for Rent,2,2,0,115,Dzorwulu,Not Listed,Not Furnished
1606889847-622,10878,Apartment for Rent,2,2,0,115,Cantoment accra,Listed,Furnished
1606889857-624,8158,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Furnished
1606889864-626,9488,Apartment for Rent,3,2,2,230,Cantoment accra,Listed,Not Furnished
1606889872-628,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606889877-630,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606889887-632,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606889895-634,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606889904-636,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606889909-638,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606889929-640,2500,Apartment for Rent,2,2,0,115,Dzorwulu,Not Listed,Not Furnished
1606889934-641,10878,Apartment for Rent,2,2,0,115,Cantoment accra,Listed,Furnished
1606889945-643,8158,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Furnished
1606889954-645,9488,Apartment for Rent,3,2,2,230,Cantoment accra,Listed,Not Furnished
1606889974-648,24475,Apartment for Rent,3,3,1,216,Airport Residential,Listed,Furnished
1606889993-651,19036,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Not Furnished
1606890015-654,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
1606890032-657,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606890051-660,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606890064-662,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606890071-664,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606890080-666,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606890089-668,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606890094-670,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606890105-672,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606890110-673,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606890128-677,2500,Apartment for Rent,2,2,0,115,Dzorwulu,Not Listed,Not Furnished
1606890133-678,10878,Apartment for Rent,2,2,0,115,Cantoment accra,Listed,Furnished
1606890142-680,8158,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Furnished
1606890150-682,9488,Apartment for Rent,3,2,2,230,Cantoment accra,Listed,Not Furnished
1606890159-685,24475,Apartment for Rent,3,3,1,216,Airport Residential,Listed,Furnished
1606890168-686,19036,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Not Furnished
1606890173-687,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
1606890180-689,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606890189-690,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606890197-691,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606890207-692,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606890215-693,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606890223-694,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606890237-695,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606890244-697,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606890253-699,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606890273-703,2500,Apartment for Rent,2,2,0,115,Dzorwulu,Not Listed,Not Furnished
1606890281-705,10878,Apartment for Rent,2,2,0,115,Cantoment accra,Listed,Furnished
1606890288-707,8158,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Furnished
1606890298-709,9488,Apartment for Rent,3,2,2,230,Cantoment accra,Listed,Not Furnished
1606890310-712,19036,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Not Furnished
1606890317-714,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
1606890324-715,24475,Apartment for Rent,3,3,1,216,Airport Residential,Listed,Furnished
1606890333-717,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606890341-719,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606890354-721,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606890362-723,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606890370-725,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606890377-727,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606890387-729,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606890401-731,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606890408-733,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606890421-736,2500,Apartment for Rent,2,2,0,115,Dzorwulu,Not Listed,Not Furnished
1606890427-737,10878,Apartment for Rent,2,2,0,115,Cantoment accra,Listed,Furnished
1606890435-739,8158,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Furnished
1606890443-741,9488,Apartment for Rent,3,2,2,230,Cantoment accra,Listed,Not Furnished
1606890450-743,19036,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Not Furnished
1606890459-745,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
1606890466-747,24475,Apartment for Rent,3,3,1,216,Airport Residential,Listed,Furnished
1606890472-749,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606890478-751,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606890486-753,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606890498-755,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606890508-757,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606890518-759,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606890525-761,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606890531-763,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606890538-765,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606890552-768,8158,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Furnished
1606890557-770,9488,Apartment for Rent,3,2,2,230,Cantoment accra,Listed,Not Furnished
1606890562-771,19036,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Not Furnished
1606890573-774,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
1606890579-776,24475,Apartment for Rent,3,3,1,216,Airport Residential,Listed,Furnished
1606890590-777,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606890603-780,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606890610-782,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606890621-784,18112,Apartment for Rent,3,4,2,300,"Labone, Accra, Ghana",Listed,Not Furnished
1606890630-786,16962,Apartment for Rent,3,3,2,216,Airport Residential,Listed,Not Furnished
1606890638-788,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606890644-790,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606890652-792,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606890672-795,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606890680-797,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606890686-799,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606890701-802,8158,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Furnished
1606890707-804,9488,Apartment for Rent,3,2,2,230,Cantoment accra,Listed,Not Furnished
1606890714-806,24475,Apartment for Rent,3,3,1,216,Airport Residential,Listed,Furnished
1606890722-807,19036,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Not Furnished
1606890728-809,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
1606890735-811,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606890745-813,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606890750-815,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606890757-817,18112,Apartment for Rent,3,4,2,300,"Labone, Accra, Ghana",Listed,Not Furnished
1606890762-819,16962,Apartment for Rent,3,3,2,216,Airport Residential,Listed,Not Furnished
1606890772-820,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606890785-823,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606890793-825,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606890801-826,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606890810-829,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606890818-830,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606890840-834,8158,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Furnished
1606890847-835,9488,Apartment for Rent,3,2,2,230,Cantoment accra,Listed,Not Furnished
1606890855-836,24475,Apartment for Rent,3,3,1,216,Airport Residential,Listed,Furnished
1606890858-837,19036,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Not Furnished
1606890864-839,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
1606890876-841,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606890889-845,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606890899-850,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606890906-853,18112,Apartment for Rent,3,4,2,300,"Labone, Accra, Ghana",Listed,Not Furnished
1606890914-854,16962,Apartment for Rent,3,3,2,216,Airport Residential,Listed,Not Furnished
1606890919-857,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606890924-859,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606890929-862,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606890934-863,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606890941-866,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606890949-869,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606890961-872,8158,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Furnished
1606890968-875,9488,Apartment for Rent,3,2,2,230,Cantoment accra,Listed,Not Furnished
1606890976-877,24475,Apartment for Rent,3,3,1,216,Airport Residential,Listed,Furnished
1606890983-880,19036,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Not Furnished
1606890992-884,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
1606891001-888,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606891012-891,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606891027-898,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606891040-903,18112,Apartment for Rent,3,4,2,300,"Labone, Accra, Ghana",Listed,Not Furnished
1606891054-907,16962,Apartment for Rent,3,3,2,216,Airport Residential,Listed,Not Furnished
1606891063-911,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606891070-914,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606891079-918,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606891089-921,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606891099-925,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606891111-928,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606891142-936,9488,Apartment for Rent,3,2,2,230,Cantoment accra,Listed,Not Furnished
1606891152-938,24475,Apartment for Rent,3,3,1,216,Airport Residential,Listed,Furnished
1606891160-940,19036,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Not Furnished
1606891175-942,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
1606891187-947,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606891195-951,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606891204-955,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606891214-958,16962,Apartment for Rent,3,3,2,216,Airport Residential,Listed,Not Furnished
1606891221-961,18112,Apartment for Rent,3,4,2,300,"Labone, Accra, Ghana",Listed,Not Furnished
1606891232-964,10350,Apartment for Rent,2,2,0,100,East Legon,Listed,Furnished
1606891242-965,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606891246-967,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606891251-969,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606891257-970,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606891262-972,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606891272-974,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606891293-977,9488,Apartment for Rent,3,2,2,230,Cantoment accra,Listed,Not Furnished
1606891300-978,24475,Apartment for Rent,3,3,1,216,Airport Residential,Listed,Furnished
1606891309-980,19036,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Not Furnished
1606891316-982,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
1606891322-984,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606891327-985,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606891334-987,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606891342-989,18112,Apartment for Rent,3,4,2,300,"Labone, Accra, Ghana",Listed,Not Furnished
1606891347-991,16962,Apartment for Rent,3,3,2,216,Airport Residential,Listed,Not Furnished
1606891353-993,10350,Apartment for Rent,2,2,0,100,East Legon,Listed,Furnished
1606891362-995,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606891367-997,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606891374-999,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606891382-1001,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606891392-1002,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606891397-1003,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606891413-1006,9488,Apartment for Rent,3,2,2,230,Cantoment accra,Listed,Not Furnished
1606891422-1009,24475,Apartment for Rent,3,3,1,216,Airport Residential,Listed,Furnished
1606891430-1011,19036,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Not Furnished
1606891435-1012,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
1606891441-1014,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606891450-1016,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606891458-1018,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606891464-1020,18112,Apartment for Rent,3,4,2,300,"Labone, Accra, Ghana",Listed,Not Furnished
1606891470-1021,16962,Apartment for Rent,3,3,2,216,Airport Residential,Listed,Not Furnished
1606891476-1024,10350,Apartment for Rent,2,2,0,100,East Legon,Listed,Furnished
1606891487-1026,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606891492-1027,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
