property_id,price,categories,bedrooms,bathrooms,garage,area,location,amenities,furnished
1606900040-4191,10878,Apartment for Rent,2,2,0,115,Cantoment accra,Listed,Furnished
1606900046-4193,8158,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Furnished
1606900056-4196,5750,Apartment for Rent,1,1,0,45,"Osu ,Accra,Ghana",Listed,Furnished
1606900064-4199,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606900071-4202,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606900081-4205,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606900088-4208,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606900096-4211,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606900103-4214,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606900126-4221,14950,Apartment for Rent,3,4,2,220,"Labone, Accra, Ghana",Listed,Furnished
1606900137-4226,14375,Apartment for Rent,2,2,0,115,"Nyaniba Estates Park, Accra, Ghana",Listed,Furnished
1606900145-4228,11500,Apartment for Rent,1,2,0,100,Cantoment accra,Listed,Furnished
1606900153-4231,24475,Apartment for Rent,3,3,1,216,Airport Residential,Listed,Furnished
1606900158-4233,19036,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Not Furnished
1606900173-4238,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
1606900181-4241,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606900188-4245,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606900195-4247,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606900206-4251,8050,Apartment for Rent,1,1,0,80,"Osu ,Accra,Ghana",Listed,Furnished
1606900216-4253,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606900223-4256,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606900231-4259,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606900238-4261,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606900248-4265,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606900256-4269,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606900274-4274,14950,Apartment for Rent,3,4,2,220,"Labone, Accra, Ghana",Listed,Furnished
1606900285-4277,14375,Apartment for Rent,2,2,0,115,"Nyaniba Estates Park, Accra, Ghana",Listed,Furnished
1606900295-4280,11500,Apartment for Rent,1,2,0,100,Cantoment accra,Listed,Furnished
1606900305-4283,19036,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Not Furnished
1606900310-4286,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
1606900318-4289,24475,Apartment for Rent,3,3,1,216,Airport Residential,Listed,Furnished
1606900334-4292,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606900342-4295,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606900350-4299,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606900357-4302,8050,Apartment for Rent,1,1,0,80,"Osu ,Accra,Ghana",Listed,Furnished
1606900368-4306,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606900376-4309,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606900383-4312,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606900392-4315,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606900403-4318,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606900411-4322,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606900445-4330,14950,Apartment for Rent,3,4,2,220,"Labone, Accra, Ghana",Listed,Furnished
1606900452-4332,14375,Apartment for Rent,2,2,0,115,"Nyaniba Estates Park, Accra, Ghana",Listed,Furnished
1606900461-4334,11500,Apartment for Rent,1,2,0,100,Cantoment accra,Listed,Furnished
1606900470-4337,24475,Apartment for Rent,3,3,1,216,Airport Residential,Listed,Furnished
1606900477-4340,19036,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Not Furnished
1606900484-4343,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
1606900495-4347,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606900504-4350,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606900512-4354,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606900516-4356,8050,Apartment for Rent,1,1,0,80,"Osu ,Accra,Ghana",Listed,Furnished
1606900523-4359,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606900530-4362,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606900537-4365,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606900543-4368,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606900549-4371,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606900556-4373,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
